input,mode,order,mean,mean_normalized,mean_normalized_baseline
667.0,shapley,1.0,,0.5991163,0.5991163
667.0,shapley,2.0,,-0.04288185,-0.1483798
667.0,banzhaf/0.3,1.0,,0.17403844,0.17403844
667.0,banzhaf/0.3,2.0,,0.07819094,0.0859714
667.0,banzhaf/0.5,1.0,,0.4881124,0.4881124
667.0,banzhaf/0.5,2.0,,0.059046198,0.3252153
667.0,banzhaf/0.7,1.0,,0.7168335,0.7168335
667.0,banzhaf/0.7,2.0,,0.57042843,0.5928849
3537.0,shapley,1.0,,0.11214181,0.11214181
3537.0,shapley,2.0,,0.2112055,0.20990969
3537.0,banzhaf/0.3,1.0,,0.3745564,0.3745564
3537.0,banzhaf/0.3,2.0,,0.03616568,0.21354438
3537.0,banzhaf/0.5,1.0,,0.5295813,0.5295813
3537.0,banzhaf/0.5,2.0,,0.33199263,0.4188676
3537.0,banzhaf/0.7,1.0,,0.5153027,0.5153027
3537.0,banzhaf/0.7,2.0,,0.21383898,0.44052517
4376.0,shapley,1.0,,0.075406484,0.075406484
4376.0,shapley,2.0,,-0.00039694342,0.065364204
4376.0,banzhaf/0.3,1.0,,0.17630117,0.17630117
4376.0,banzhaf/0.3,2.0,,0.14079255,0.13605897
4376.0,banzhaf/0.5,1.0,,0.16156061,0.16156061
4376.0,banzhaf/0.5,2.0,,0.14781909,0.28608307
4376.0,banzhaf/0.7,1.0,,0.288022,0.288022
4376.0,banzhaf/0.7,2.0,,0.026037753,0.16291139
4865.0,shapley,1.0,,0.091593914,0.091593914
4865.0,shapley,2.0,,0.022790236,-0.06772044
4865.0,banzhaf/0.3,1.0,,0.4090734,0.4090734
4865.0,banzhaf/0.3,2.0,,0.11361893,0.049884573
4865.0,banzhaf/0.5,1.0,,0.2068527,0.2068527
4865.0,banzhaf/0.5,2.0,,0.02257144,0.03914447
4865.0,banzhaf/0.7,1.0,,0.355976,0.355976
4865.0,banzhaf/0.7,2.0,,0.10298264,0.25492978
4966.0,shapley,1.0,,0.45363945,0.45363945
4966.0,shapley,2.0,,0.06892826,0.19550265
4966.0,banzhaf/0.3,1.0,,0.36871192,0.36871192
4966.0,banzhaf/0.3,2.0,,-0.10912691,0.30164465
4966.0,banzhaf/0.5,1.0,,0.43663996,0.43663996
4966.0,banzhaf/0.5,2.0,,0.20695527,0.16183662
4966.0,banzhaf/0.7,1.0,,0.3740514,0.3740514
4966.0,banzhaf/0.7,2.0,,0.0424378,-0.008997609
