age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
25,Private,226802.0,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40,United-States,<=50K
38,Private,89814.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50,United-States,<=50K
28,Local-gov,336951.0,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,>50K
44,Private,160323.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7688.0,0.0,40,United-States,>50K
18,,103497.0,Some-college,10,Never-married,,Own-child,White,Female,0.0,0.0,30,United-States,<=50K
34,Private,198693.0,10th,6,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,30,United-States,<=50K
29,,227026.0,HS-grad,9,Never-married,,Unmarried,Black,Male,0.0,0.0,40,United-States,<=50K
63,Self-emp-not-inc,104626.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103.0,0.0,32,United-States,>50K
24,Private,369667.0,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
55,Private,104996.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,10,United-States,<=50K
65,Private,184454.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6418.0,0.0,40,United-States,>50K
36,Federal-gov,212465.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,82091.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,39,United-States,<=50K
58,,299831.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0.0,0.0,35,United-States,<=50K
48,Private,279724.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103.0,0.0,48,United-States,>50K
43,Private,346189.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,>50K
20,State-gov,444554.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,25,United-States,<=50K
43,Private,128354.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,30,United-States,<=50K
37,Private,60548.0,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,20,United-States,<=50K
40,Private,85019.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,45,,>50K
34,Private,107914.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,47,United-States,>50K
34,Private,238588.0,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,35,United-States,<=50K
72,,132015.0,7th-8th,4,Divorced,,Not-in-family,White,Female,0.0,0.0,6,United-States,<=50K
25,Private,220931.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43,Peru,<=50K
25,Private,205947.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K
45,Self-emp-not-inc,432824.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,90,United-States,>50K
22,Private,236427.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20,United-States,<=50K
23,Private,134446.0,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Male,0.0,0.0,54,United-States,<=50K
54,Private,99516.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35,United-States,<=50K
32,Self-emp-not-inc,109282.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60,United-States,<=50K
46,State-gov,106444.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7688.0,0.0,38,United-States,>50K
56,Self-emp-not-inc,186651.0,11th,7,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,50,United-States,<=50K
24,Self-emp-not-inc,188274.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K
23,Local-gov,258120.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,43311.0,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
65,,191846.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40,United-States,<=50K
36,Local-gov,403681.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K
22,Private,248446.0,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Male,0.0,0.0,50,Guatemala,<=50K
17,Private,269430.0,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
20,Private,257509.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,<=50K
65,Private,136384.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,>50K
44,Self-emp-inc,120277.0,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45,United-States,>50K
36,Private,465326.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,United-States,<=50K
29,Private,103634.0,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,United-States,<=50K
20,State-gov,138371.0,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,32,United-States,<=50K
28,Private,242832.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,36,United-States,>50K
39,Private,290208.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,Mexico,<=50K
54,Private,186272.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3908.0,0.0,50,United-States,<=50K
52,Private,201062.0,11th,7,Separated,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,18,United-States,<=50K
56,Self-emp-inc,131916.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50,United-States,<=50K
18,Private,54440.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20,United-States,<=50K
39,Private,280215.0,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40,United-States,<=50K
21,Private,214399.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,1721.0,24,United-States,<=50K
22,Private,54164.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,14084.0,0.0,60,United-States,>50K
38,Private,219446.0,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0.0,0.0,54,Mexico,<=50K
21,Private,110677.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40,United-States,<=50K
63,Private,145985.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K
34,Local-gov,382078.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103.0,0.0,50,United-States,>50K
42,Self-emp-inc,170721.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178.0,0.0,50,United-States,>50K
33,Private,269705.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,<=50K
30,Private,101135.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50,United-States,<=50K
39,Private,118429.0,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,31208.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
33,Private,281384.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40,United-States,<=50K
47,Local-gov,171807.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
41,Private,109912.0,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40,,<=50K
41,Self-emp-inc,445382.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,15024.0,0.0,60,United-States,>50K
19,Private,105460.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20,United-States,<=50K
46,Private,170338.0,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
43,Private,102606.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48,United-States,<=50K
55,Private,323887.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,45,United-States,>50K
46,Private,175622.0,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,<=50K
30,Private,229636.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,Mexico,<=50K
21,Private,388946.0,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
46,Private,269034.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,0.0,40,Dominican-Republic,<=50K
17,,165361.0,10th,6,Never-married,,Own-child,White,Male,0.0,0.0,40,United-States,<=50K
41,Private,75012.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50,United-States,<=50K
69,Self-emp-inc,174379.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,30,United-States,<=50K
50,Private,312477.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K
20,Private,72055.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
45,Self-emp-inc,67001.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50,United-States,<=50K
23,Private,213734.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
24,Private,83141.0,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0.0,1876.0,40,United-States,<=50K
44,Self-emp-inc,223881.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999.0,0.0,50,,>50K
31,Self-emp-not-inc,113752.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50,United-States,<=50K
43,Private,170482.0,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,44,United-States,<=50K
20,Federal-gov,244689.0,11th,7,Never-married,Other-service,Own-child,White,Female,0.0,0.0,10,United-States,<=50K
55,Private,160631.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,56,United-States,>50K
24,Federal-gov,228724.0,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
41,,38434.0,Masters,14,Married-civ-spouse,,Wife,White,Female,7688.0,0.0,10,United-States,>50K
59,Private,292946.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,25,United-States,<=50K
49,Federal-gov,77443.0,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,20,United-States,<=50K
33,Private,176410.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178.0,0.0,10,United-States,>50K
59,Federal-gov,98984.0,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
34,Private,198751.0,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0.0,0.0,40,United-States,<=50K
20,Private,479296.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40,United-States,<=50K
25,Private,235218.0,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40,United-States,<=50K
49,Private,164877.0,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,United-States,<=50K
59,Private,272087.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,>50K
20,Private,169699.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
51,,189762.0,Some-college,10,Married-civ-spouse,,Wife,White,Female,0.0,0.0,18,United-States,<=50K
33,Private,202191.0,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,35,United-States,<=50K
22,Private,212261.0,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0.0,0.0,39,United-States,<=50K
58,Self-emp-not-inc,301568.0,9th,5,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
52,Local-gov,155233.0,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,28,United-States,<=50K
36,Private,75826.0,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
41,Local-gov,201520.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,<=50K
28,Private,154236.0,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,2597.0,0.0,40,United-States,<=50K
19,Private,289227.0,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,16,United-States,<=50K
18,Private,217439.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,28,United-States,<=50K
18,Private,179020.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,48,United-States,<=50K
28,Private,149624.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K
29,Private,337266.0,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,>50K
20,,30796.0,HS-grad,9,Never-married,,Own-child,White,Female,0.0,0.0,20,United-States,<=50K
40,Private,103541.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,206721.0,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,40,United-States,<=50K
46,Private,96773.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K
23,Private,200967.0,11th,7,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,24,United-States,<=50K
44,Private,180019.0,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
43,Private,179866.0,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0.0,0.0,40,United-States,>50K
31,Local-gov,198770.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,60,United-States,<=50K
18,Private,219256.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0.0,0.0,25,United-States,<=50K
19,Private,248730.0,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,30,United-States,<=50K
41,Private,110732.0,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
41,Private,181020.0,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
69,Private,183791.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25,United-States,<=50K
48,Federal-gov,42972.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40,United-States,>50K
28,Private,134813.0,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40,United-States,<=50K
27,Self-emp-not-inc,115438.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,Ireland,>50K
41,Private,239296.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,50,United-States,>50K
41,Private,428420.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40,United-States,<=50K
24,Private,247846.0,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,0.0,0.0,40,United-States,<=50K
20,,334105.0,HS-grad,9,Never-married,,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
42,Self-emp-inc,100793.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,41,United-States,>50K
57,Private,244478.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,48,United-States,<=50K
30,Private,142921.0,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
36,Private,182863.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60,United-States,>50K
49,Private,171128.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40,United-States,<=50K
33,Private,145402.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,0.0,35,United-States,<=50K
23,Private,306309.0,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,United-States,<=50K
46,Private,83822.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K
18,Private,262118.0,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,22,Germany,<=50K
40,Private,155972.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,55,United-States,>50K
43,Self-emp-inc,214503.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,45,United-States,>50K
34,Private,159303.0,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,30,United-States,<=50K
47,Self-emp-not-inc,174995.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,30,United-States,<=50K
44,Private,26669.0,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,0.0,0.0,30,United-States,<=50K
33,Private,177727.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,>50K
55,Private,124771.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50,United-States,>50K
19,Private,456736.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,2907.0,0.0,30,United-States,<=50K
28,Private,216604.0,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,14,United-States,<=50K
27,Private,221561.0,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0.0,0.0,32,United-States,<=50K
50,Private,114564.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,20,United-States,<=50K
22,Private,315476.0,11th,7,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,40,United-States,<=50K
40,State-gov,67874.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,1887.0,45,United-States,>50K
25,Private,126110.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40,United-States,<=50K
26,Local-gov,102264.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
22,Private,537222.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,25,United-States,<=50K
42,Private,113732.0,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,0.0,625.0,40,United-States,<=50K
38,Self-emp-inc,93225.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
55,Private,43064.0,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,30,United-States,<=50K
32,Private,136921.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,<=50K
22,Private,388885.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,United-States,<=50K
29,Private,142249.0,Bachelors,13,Never-married,Sales,Own-child,White,Male,0.0,0.0,40,United-States,<=50K
46,State-gov,56841.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,>50K
31,Private,156493.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,>50K
58,Self-emp-not-inc,159021.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,16,United-States,>50K
42,Private,190910.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45,United-States,<=50K
18,Private,41879.0,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,25,United-States,<=50K
58,Local-gov,137249.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,33,United-States,<=50K
54,Private,236157.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1887.0,40,United-States,>50K
34,Private,189759.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,239877.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
